region,age,2016
Stockholm county,18-29 years,385.4
Stockholm county,30-49 years,659.5
Stockholm county,50-64 years,683.3
Uppsala county,18-29 years,300.9
Uppsala county,30-49 years,542.7
Uppsala county,50-64 years,580.4
Södermanland county,18-29 years,317.5
Södermanland county,30-49 years,489.4
Södermanland county,50-64 years,507.6
Östergötland county,18-29 years,290.3
Östergötland county,30-49 years,502.7
Östergötland county,50-64 years,532.8
Jönköping county,18-29 years,330.8
Jönköping county,30-49 years,518.8
Jönköping county,50-64 years,556.7
Kronoberg county,18-29 years,307.3
Kronoberg county,30-49 years,503.2
Kronoberg county,50-64 years,530.3
Kalmar county,18-29 years,312.3
Kalmar county,30-49 years,483.8
Kalmar county,50-64 years,500.5
Gotland county,18-29 years,300.4
Gotland county,30-49 years,487.6
Gotland county,50-64 years,489.6
Blekinge county,18-29 years,292
Blekinge county,30-49 years,478.4
Blekinge county,50-64 years,492.4
Skåne county,18-29 years,307.5
Skåne county,30-49 years,500.4
Skåne county,50-64 years,538.3
Halland county,18-29 years,349.7
Halland county,30-49 years,575
Halland county,50-64 years,619.5
Västra Götaland county,18-29 years,329
Västra Götaland county,30-49 years,522.3
Västra Götaland county,50-64 years,561.7
Värmland county,18-29 years,281.1
Värmland county,30-49 years,456.4
Värmland county,50-64 years,469.9
Orebro county,18-29 years,290.9
Orebro county,30-49 years,478.1
Orebro county,50-64 years,494.8
Västmanland county,18-29 years,319
Västmanland county,30-49 years,501.3
Västmanland county,50-64 years,515.3
Dalarna county,18-29 years,307.5
Dalarna county,30-49 years,468.7
Dalarna county,50-64 years,482.1
Gävleborg county,18-29 years,297.8
Gävleborg county,30-49 years,462.1
Gävleborg county,50-64 years,480.1
Västernorrland county,18-29 years,303.6
Västernorrland county,30-49 years,477.2
Västernorrland county,50-64 years,488.7
Jämtland county,18-29 years,293
Jämtland county,30-49 years,468.7
Jämtland county,50-64 years,474.5
Västerbotten county,18-29 years,281.2
Västerbotten county,30-49 years,478.9
Västerbotten county,50-64 years,511.9
Norrbotten county,18-29 years,317.1
Norrbotten county,30-49 years,487.3
Norrbotten county,50-64 years,495.6
